Organizations,Description,Vote,$ Available 2009-10,$ Spent 2009-10,$ Available 2010-11,$ Spent 2010-11,$ Available 2011-12,$ Spent 2011-12
Agriculture and Agri-Food,Operating expenditures,1,"770,999,255","715,330,073","778,798,330","712,478,274","756,690,489","704,941,276"
Agriculture and Agri-Food,Capital expenditures,5,"63,889,810","56,634,267","57,859,744","51,859,188","34,150,756","28,848,626"
Agriculture and Agri-Food,Grants and contributions,10,"502,687,428","292,691,158","577,775,977","411,653,229","459,143,202","359,941,850"
Agriculture and Agri-Food,"Pursuant of section 29 of the Financial Administration Act, to authorize the Minister of Agriculture and AgriFood, on behalf of Her Majesty in right of Canada, in accordance with terms and conditions approved by the Minister of Finance, to guarantee payments of amounts not exceeding, at any one time, in aggregate, the sum of $1,500,000,000 payable in respect of cash advances provided by producer organizations, the Canadian Wheat Board and other lenders under the Enhanced Spring Credit Advance Program",15,1,0,,,,
Agriculture and Agri-Food,Canadian Pari-Mutuel Agency - Program expenditures,20,"525,000","515,469","345,000","178,458",,
Agriculture and Agri-Food,"Pursuant to section 29 of the Financial Administration Act, to authorize the Minister of Agriculture and Agri-Food, on behalf of Her Majesty in right of Canada, in accordance with terms and conditions approved by the Minister of Finance, to guarantee payments of amounts not exceeding, at any time, in aggregate, the sum of $140,000,000 payable in respect of Line of Credit Agreements to be entered into by the Farm Credit Canada for the purpose of the renewed (2003) National Biomass Ethanol Program",20,1,0,1,0,,
Agriculture and Agri-Food, Contribution payments for the Agricultural Disaster Relief program - AgriRecovery,(S),"-5,930,836","-5,930,836","256,164,031","256,164,031","230,881,403","230,881,403"
Agriculture and Agri-Food,Canadian Cattlemen's Association Legacy Fund,(S),"10,000,000","10,000,000","8,435,258","8,435,258","4,893,823","4,893,823"
Agriculture and Agri-Food,Canadian Pari-Mutuel Agency Revolving Fund,(S),"4,410,181","168,025","4,242,156","822,757","3,922,399","-253,649"
Agriculture and Agri-Food,Class contribution payments for Repositioning of the Canadian Beef and Cattle Industry,(S), ,,,,"-466,711","-466,711"
Agriculture and Agri-Food,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"2,132","2,132",274,274,,
Agriculture and Agri-Food,Contribution payments for the AgriInsurance program,(S),"502,915,244","502,915,244","514,918,800","514,918,800","571,643,883","571,643,883"
Agriculture and Agri-Food,Contribution Payments for the Grain and Oilseed Payment Program,(S),"-79,161","-79,161","-8,119","-8,119",,
Agriculture and Agri-Food,Contributions for the Transitional Industry Support Program,(S),,,"-2,452","-2,452","-48,088","-48,088"
Agriculture and Agri-Food,Contributions in support of Business Risk Management Programs under the Agricultural Policy Framework - Agriculture Policy Initiatives,(S), ,,,,"-321,817","-321,817"
